question,model_answer,
Was Abraham Lincoln the sixteenth President of the United States?,yes,
Was Abraham Lincoln the sixteenth President of the United States?,Yes.,
Did Lincoln sign the National Banking Act of 1863?,yes,
Did Lincoln sign the National Banking Act of 1863?,Yes.,
Did his mother die of pneumonia?,no,
Did his mother die of pneumonia?,No.,
How many long was Lincoln's formal education?,18 months,
How many long was Lincoln's formal education?,18 months.,
When did Lincoln begin his political career?,1832,
When did Lincoln begin his political career?,1832,
What did The Legal Tender Act of 1862 establish?,the United States Note,
What did The Legal Tender Act of 1862 establish?,The United States Note,
Who suggested Lincoln grow a beard?,11-year-old Grace Bedell,
Who suggested Lincoln grow a beard?,Grace Bedell.,
When did the Gettysburg address argue that America was born?,1776,
When did the Gettysburg address argue that America was born?,1776,
Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,
Did Lincoln beat John C. Breckinridge in the 1860 election?,Yes.,
Was Abraham Lincoln the first President of the United States?,No,
Was Abraham Lincoln the first President of the United States?,No,
Did Lincoln start his political career in 1832?,Yes,
Did Lincoln start his political career in 1832?,Yes,
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,
Which county was Lincoln born in?,Hardin County,
Which county was Lincoln born in?,Southeast Hardin County,
When did Lincoln first serve as President?,Mar-04,
When did Lincoln first serve as President?,Mar-04,
Who assassinated Lincoln?,John Wilkes Booth,
Who assassinated Lincoln?,John Wilkes Booth,
Did Lincoln win the election of 1860?,Yes,
Did Lincoln win the election of 1860?,Yes,
Who was the general in charge at the Battle of Antietam?,General McClellan,
Who was the general in charge at the Battle of Antietam?,John Alexander McClernand,
Why did Lincoln issue the Emancipation Proclamation?,To free slaves ,
Why did Lincoln issue the Emancipation Proclamation?,The goal was to weaken the rebellion,
Do scholars rank lincoln among the top three presidents?,NULL,
Do scholars rank lincoln among the top three presidents?,Yes,
Did lincoln have 18 months of schooling?,NULL,
Did lincoln have 18 months of schooling?,Yes,
Was Lincoln chosen as a presidential candidate in 1860?,NULL,
Was Lincoln chosen as a presidential candidate in 1860?,Yes,
How old was Lincoln in 1816?,NULL,
How old was Lincoln in 1816?,seven,
When was the first photgraph of lincoln taken?,NULL,
When was the first photgraph of lincoln taken?,1846,
How long was Lincoln's legal Career?,NULL,
How long was Lincoln's legal Career?,23 years,
What trail did Lincoln use a Farmers' Almanac in? ,NULL,
What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong",
Did Abraham Lincoln live in the Frontier?,NULL,
Did Abraham Lincoln live in the Frontier?,Yes,
Did Lincoln's Wife's Family support slavery?,NULL,
Did Lincoln's Wife's Family support slavery?,Yes,
Volta became professor of physics in the Como high school in what year?,NULL,
What ac phaenomenis inde pendentibus?,NULL,
What may be called Volta's Law of the electrochemical series?,NULL,
Is it true that volta became professor of physics?,NULL,
Is it true that volta entered retirement in spain?,NULL,
When did he become professor?,NULL,
What did Alessandro Volta publish in 1800?,NULL,
Is Volta buried in the city of Como?,NULL,
Is the electrolyte sulphuric acid?,NULL,
,NULL,
,NULL,
,NULL,
NOTTTT  FOUND,NULL,
,NULL,
,NULL,
Are Count Volta 's original instruments and papers on display there ?,NULL,
