question,model_answers
What does ML stand for?,Machine Learning
Which type of ML uses labeled data?,Supervised
Which type of ML uses unlabeled data?,Unsupervised
"In reinforcement learning, the agent learns through:",Rewards and penalties
What is overfitting?,Model performs well on training but poorly on test data
What is underfitting?,Model fails to capture patterns
What is the bias-variance tradeoff?,Reducing bias increases variance and vice versa
Which metric measures proportion of correct predictions?,Accuracy
Precision = ?,TP/(TP+FP)
Recall = ?,TP/(TP+FN)
F1-Score is:,Harmonic mean of Precision and Recall
What does AUC-ROC measure?,Model's ability to distinguish classes
Cross-validation helps in:,Robust model evaluation
What is k-fold cross-validation?,Data split into k equal parts; each used as validation once
Purpose of a validation set:,Tune hyperparameters during training
L1 regularization is:,Lasso
L2 regularization is:,Ridge
Dropout in neural networks:,Prevents overfitting
Feature engineering means:,Creating/transforming features to improve model
What is a hyperparameter?,Set before training; not learned
Gradient descent minimizes:,Loss function
Learning rate controls:,Step size in parameter updates
Batch gradient descent:,Uses entire dataset per update
SGD (Stochastic Gradient Descent):,Uses one sample per update
Mini-batch GD uses:,A subset per update
Vanishing gradient problem:,Gradients too small to update early layers
Most common hidden layer activation in deep nets:,ReLU
Softmax used in output for:,Multiclass classification
KNN default distance metric:,Euclidean
'K' in KNN represents:,Number of nearest neighbors
KNN is an example of:,Lazy learning
SVM finds:,Optimal hyperplane maximizing margin
Kernel trick in SVM:,Non-linear classification in transformed space
Naive Bayes assumes:,Features conditionally independent given class
Random Forest is ensemble of:,Decision Trees
Boosting trains models to:,Correct errors of previous models
XGBoost stands for:,Extreme Gradient Boosting
Bagging reduces:,Variance
Confusion matrix summarizes:,Classification performance via TP/FP/TN/FN
False Positive (FP) is also called:,Type I error
False Negative (FN) is also called:,Type II error
Best metric for imbalanced datasets:,F1-Score or AUC-ROC
Data normalization:,Scales features to same range
Min-Max scaling range:,"[0, 1]"
Z-score standardization produces:,"Mean 0, std 1"
Isolation Forest is used for:,Anomaly detection
Transfer learning:,Reuses pre-trained model for new tasks
Dimensionality reduction:,Reduces features while retaining info
PCA is a ___ dimensionality reduction technique:,Linear
PCA = ?,Principal Component Analysis
t-SNE is primarily for:,Data visualization in 2D/3D
GAN consists of:,Generator and Discriminator
Generator's goal in GAN:,Fool the discriminator
Elbow Method is used for:,Optimal number of clusters
Silhouette score evaluates:,Cluster quality
DBSCAN doesn't require specifying:,Number of clusters
K-Means assigns clusters by:,Distance to centroids
Hierarchical clustering produces:,A dendrogram
Association rule mining finds:,Co-occurring items in transactions
Apriori mines:,Frequent itemsets
Support in association rules:,Frequency of itemset in dataset
Confidence in association rules:,P(B|A)
Lift > 1 indicates:,Positive correlation between items
MSE is used for:,Regression evaluation
RÂ² = 1 means:,Perfect fit
Negative RÂ² means:,Model worse than horizontal baseline
MAE = ?,Mean Absolute Error
RMSE penalizes:,Large errors more than MAE
Learning curve shows:,Model performance vs training data size
Grid search:,Finds best hyperparameter combination exhaustively
Random search is better than grid search when:,Search space is very large
Bayesian optimization uses:,Prior knowledge + likelihood
Feature importance in Random Forest:,Mean decrease in impurity
Logistic Regression output:,Probability between 0 and 1
Sigmoid function maps to:,"(0, 1)"
One-hot encoding:,Encodes categorical variables as binary vectors
